Name,Question,Institution,Gender,Confidence,Medianconf,Vote,Median,Qtext,Comment
Aaron Edlin,22,Berkeley,m,6,5,Agree,Uncertain,"Question B: Appropriately managed corporations could create significantly greater value than they currently do for a range of stakeholders – including workers, suppliers, customers and community members – with negligible impacts on shareholder value.",
Aaron Edlin,23,Berkeley,m,7,6,Disagree,Disagree,Question C: Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce.,Few major changes are straightforward but that does not mean they are impossible.
Aaron Edlin,24,Berkeley,m,7,5,Uncertain,Agree,"A substantial source of the value of decentralized private cryptocurrencies, such as Bitcoin, arises from their convenience for use in illegal activities.",Other uses include store of value and ordinary transactions in parts of developing world and countries like Venezuela in economic turmoil.
Aaron Edlin,25,Berkeley,m,NA,7,Did Not Answer,Agree,"Question A: In a case like the US women’s national soccer team where the revenues that they generate and their on-field performance both exceed those of the men’s team, there is no justification for lower pay.",
Aaron Edlin,26,Berkeley,m,NA,5,Did Not Answer,Uncertain,Question B: Fining companies above a certain size that fail to provide the same remuneration to men and women employees performing comparable roles would be an effective way of closing the gender pay gap.,
Aaron Edlin,27,Berkeley,m,8,8,Strongly Disagree,Strongly Disagree,Question A: Mexico's persistent bilateral trade surplus with the United States implies that Mexico is following policies that keep the peso artificially weak against the US dollar.,Not necessarily. I run a persistent trade surplus with my employer. I want their money but not their goods.
Aaron Edlin,28,Berkeley,m,8,7,Strongly Disagree,Strongly Disagree,"Question B: The existence of a multi-year trade deficit of Country A with Country B implies that B has successfully tilted the playing field in its favor in terms of such policies as tariffs, non-tariff barriers, and the exchange rate between them.",
Aaron Edlin,29,Berkeley,m,8,7,Agree,Agree,Question A: The first required class for undergraduate economics majors at my university accurately reflects the way that economists think about a range of economics problems.,
Aaron Edlin,30,Berkeley,m,8,5,Agree,Uncertain,Question B: The first required class for undergraduate economics majors at my university addresses the most pressing economic issues in the US.,"Environmental externalities, lackluster growth and even decreases in income for the bottom 75 percent, and inequalities are addressed"
Aaron Edlin,31,Berkeley,m,6,6,Agree,Agree,Question A: The incidence of the latest round of US import tariffs is likely to fall primarily on American households.,
Aaron Edlin,32,Berkeley,m,7,5,Agree,Agree,Question B: The impact of the tariffs – and any Chinese countermeasures – on US prices and employment is likely to be felt most heavily by lower income groups and regions.,
Aaron Edlin,33,Berkeley,m,7,8,Strongly Agree,Strongly Agree,Selecting candidates for membership of the Federal Open Market Committee (FOMC) based primarily on their political views would lead to worse monetary policy outcomes than has been the case over the last 15 years.,Helping a party is different from helping the country.
Aaron Edlin,34,Berkeley,m,6,6,Agree,Agree,Question A: The admission of children of alumni and donors at elite private colleges and universities crowds out applicants with greater academic potential.,
Aaron Edlin,35,Berkeley,m,6,5,Uncertain,Uncertain,Question B: The net effect of admitting children of alumni and donors (including any impact on donations and any losses of other high potential applicants) is likely to be a reduction in the contribution of colleges and universities to society.,
Aaron Edlin,36,Berkeley,m,5,5,Disagree,Agree,Question A: Senator Warren’s proposed wealth tax would be much more difficult to enforce than existing federal taxes because of difficulties of valuation and the ways by which the wealthy can under-report their true wealth.,One way to avoid under reporting with some assets is to allow anyone to buy at declared valuations. Another is large penalties.
Aaron Edlin,37,Berkeley,m,3,5,Agree,Agree,"Question B: If successfully enforced, Senator Warren’s proposed wealth tax would substantially decrease the share of wealth going to the top 0.1% of wealth-holders after 20 years.",
Aaron Edlin,38,Berkeley,m,6,5,Disagree,Uncertain,"Question C: A public policy goal that could be accomplished with a well-enforced wealth tax could be equally accomplished with modifications to existing federal taxes – for example, revising the estate tax and/or capital gains tax.",
Aaron Edlin,39,Berkeley,m,NA,5,Did Not Answer,Disagree,Question A: Forcing Amazon to divest Whole Foods now would be in the public interest.,
Aaron Edlin,40,Berkeley,m,NA,5,Did Not Answer,Uncertain,Question B: Acquisitions by large tech platforms where there are risks of anti-competitive effects like those posed by Amazon’s acquisition of Whole Foods should not be permitted.,
Aaron Edlin,41,Berkeley,m,NA,5,Did Not Answer,Disagree,"Question C: Large tech platforms, such as Amazon Marketplace and Google Search, should be designated as ‘platform utilities' and broken apart from any participant on that platform.",
Aaron Edlin,42,Berkeley,m,7,8,Disagree,Strongly Disagree,Question A: Countries that borrow in their own currency should not worry about government deficits because they can always create money to finance their debt.,Less worry is not the same as no worry
Aaron Edlin,43,Berkeley,m,9,8,Disagree,Strongly Disagree,Question B: Countries that borrow in their own currency can finance as much real government spending as they want by creating money.,There are limits to capacity and no limits to wants.
Aaron Edlin,44,Berkeley,m,NA,5,Did Not Answer,Uncertain,"Question A: When local governments compete by offering subsidies to a firm that is willing to relocate, and shopping across multiple alternative areas, the firm typically captures most of value that is created via the relocation.",
Aaron Edlin,45,Berkeley,m,NA,4,Did Not Answer,Uncertain,Question B: A federal prohibition against states and municipalities offering tax subsidies to attract specific businesses that are shopping across multiple areas to relocate would be welfare improving for the average taxpayer.,
Aaron Edlin,46,Berkeley,m,10,7,Strongly Disagree,Disagree,"It is best for society if the management of U.S. publicly traded corporations only considers the impact of their decisions on customers, employees, and community members to the extent that these impacts feedback to impact shareholder wealth.",
Aaron Edlin,47,Berkeley,m,8,8,Agree,Strongly Agree,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks.",A typical investor will have a better risk return profile with a diversified fund of investments.
Aaron Edlin,48,Berkeley,m,7,6,Disagree,Disagree,"Raising the top federal marginal tax on earned personal income to 70% (and holding the rest of the current tax code, including the top bracket definition, fixed) would raise substantially more revenue (federal and state, combined) without lowering economic activity.",
Aaron Edlin,49,Berkeley,m,7,7,Agree,Agree,"Rather than using second-round runoffs to settle elections in which no candidate wins a first-round majority, it would be better to use ranked-choice voting (as in the state of Maine) in which voters are encouraged to rank all of the candidates.",
Aaron Edlin,50,Berkeley,m,7,6,Agree,Agree,"The US spends roughly 17% of GDP on healthcare, according to the OECD; most European countries spend less than 12% of GDP.

Higher quality-adjusted US healthcare prices contribute relatively more to the extra US spending than does the combination of higher quantity and quality of US care (interpreting quantity and quality to reflect both greater American healthcare needs due to underlying population health and the delivery of more or better healthcare services to Americans).",
Aaron Edlin,51,Berkeley,m,NA,7,Did Not Answer,Agree,"Question A: Considering a broad range of costs and benefits is a better tool for guiding climate policy than setting temperature limits (such as 1.5 °C , eg) based on expected links between temperature increases and the extent of environmental harm.",
Aaron Edlin,52,Berkeley,m,NA,6,Did Not Answer,Agree,Question B: Carbon taxes are a better way to implement climate policy than cap-and-trade.,
Aaron Edlin,53,Berkeley,m,6,6,Agree,Agree,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy.",
Aaron Edlin,54,Berkeley,m,NA,5,Did Not Answer,Uncertain,"If a small number of firms have a large combined market share in a properly defined market, it is strong evidence that those firms have substantial market power.",
Aaron Edlin,55,Berkeley,m,NA,6,Did Not Answer,Agree,"Question A: Capping the number of ride-sharing drivers as is being discussed in New York City, Chicago and London will make the average resident in that city worse off.",
Aaron Edlin,56,Berkeley,m,NA,7,Did Not Answer,Strongly Agree,"Question B: To achieve a given level of congestion, it would be better to use taxes for driving that vary based on the level of congestion, rather than limiting the number of ride-sharing vehicles.",
Aaron Edlin,57,Berkeley,m,NA,7,Did Not Answer,Agree,"Because global supply chains are more important now, import tariffs are likely substantially more costly than they would have been 25 years ago.",
Aaron Edlin,58,Berkeley,m,NA,7,Did Not Answer,Agree,"Britain's Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:

Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability.",
Aaron Edlin,59,Berkeley,m,NA,4,Did Not Answer,Disagree,"The European Union often uses its antitrust powers to protect EU-based firms from international competition, rather than to promote greater competition in European markets.",
Aaron Edlin,60,Berkeley,m,NA,5,No Opinion,Uncertain,"All things considered, US society will be better off if sports betting becomes legal in more US states (beyond Nevada).",
Aaron Edlin,61,Berkeley,m,3,4,Agree,Uncertain,"Over the next decade, autonomous cars will raise average welfare in the US by at least as much as smartphones have over the past decade.",
Aaron Edlin,62,Berkeley,m,7,6,Disagree,Disagree,Restricting eligibility for senior government economic-policy posts by requiring a graduate degree in economics would reduce the chances for good public policy outcomes.,
Aaron Edlin,63,Berkeley,m,7,7,Agree,Agree,"NCAA Division I schools coordinate compensation for men’s basketball and football players (precluding actual pay and limiting non-monetary benefits), providing rents to member schools (which may be shared with others) at the expense of those players.",
Aaron Edlin,64,Berkeley,m,8,8,Disagree,Strongly Disagree,Imposing new US tariffs on steel and aluminum will improve Americans’ welfare.,"Effects will vary among people, but I expect overall losses will exceed gains."
Aaron Edlin,65,Berkeley,m,4,6,Disagree,Agree,"Question A: By providing electronic benefit cards to choose and buy groceries at stores, the Supplemental Nutrition Assistance Program currently does more for its recipients' well-being than it would if the program directly provided a smaller array of foods to its recipients, while commensurately reducing the amount they could spend on groceries of their own choosing.",
Aaron Edlin,66,Berkeley,m,4,5,Disagree,Agree,"Question B: By providing electronic benefit cards to choose and buy groceries at stores, the Supplemental Nutrition Assistance Program currently does more to raise food security and reduce hunger than it would if the program directly provided a smaller array of foods to its recipients, while commensurately reducing the amount they could spend on groceries of their own choosing.",
Aaron Edlin,67,Berkeley,m,NA,5,No Opinion,Disagree,"The biggest reason for the measured slowdown in US productivity growth since the mid-2000s is that productivity increases have gone mismeasured, including new and better products and services that have been insufficiently captured by real output data.",
Aaron Edlin,68,Berkeley,m,NA,6,No Opinion,Agree,"Because of the many special and unique roles that the dollar plays in global commerce, US citizens are substantially better off than they otherwise would be.",
Aaron Edlin,69,Berkeley,m,10,6,Strongly Agree,Agree,"Over the past two years, all else equal, the appeal of the US as a destination for immigrants has changed in ways that will likely decrease innovation in the US economy.",
Aaron Edlin,70,Berkeley,m,6,5,Disagree,Disagree,"Question A: A bitcoin has a fundamental value of at least $1,000.",
Aaron Edlin,71,Berkeley,m,6,5,Disagree,Uncertain,Question B: The best forecast for the value of one bitcoin in 2 years is its current price.,
Aaron Edlin,72,Berkeley,m,NA,6,Did Not Answer,Agree,"Question A: Without changes in policy, a rising share of people who are over age 65 will exert a substantial downward influence on per capita real GDP in western European countries.",
Aaron Edlin,73,Berkeley,m,NA,7,Did Not Answer,Agree,"Question B: In European countries where the share of those over 65 is rising, there are net social benefits to adjusting retirement ages for state-financed (including pay-as-you-go) pension systems upwards, so that revised retirement ages better reflect longer life expectancies.",
Aaron Edlin,74,Berkeley,m,NA,6,Did Not Answer,Uncertain,Question A: The concept of “maximum sustainable employment” is well defined enough to be used beneficially in economic policymaking.,
Aaron Edlin,75,Berkeley,m,NA,5,Did Not Answer,Uncertain,Question B: Right now the US economy is operating below maximum sustainable employment.,
Aaron Edlin,76,Berkeley,m,7,6,Disagree,Disagree,Question A: If the US enacts a tax bill similar to those currently moving through the House and Senate — and assuming no other changes in tax or spending policy — US GDP will be substantially higher a decade from now than under the status quo.,
Aaron Edlin,77,Berkeley,m,8,7,Agree,Agree,Question B: If the US enacts a tax bill similar to those currently moving through the House and Senate — and assuming no other changes in tax or spending policy — the US debt-to-GDP ratio will be substantially higher a decade from now than under the status quo.,
Aaron Edlin,78,Berkeley,m,8,7,Disagree,Strongly Disagree,Question A: Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially reduce output variability in the United States.,
Aaron Edlin,79,Berkeley,m,7,5,Disagree,Disagree,Question B: Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially lower the cost of borrowing for the federal government.,
Aaron Edlin,80,Berkeley,m,8,8,Strongly Agree,Strongly Agree,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not.",
Aaron Edlin,81,Berkeley,m,6,5,Agree,Uncertain,The influx of refugees into Germany beginning in the summer of 2015 will generate net economic benefits for German citizens over the succeeding decade.,
Aaron Edlin,82,Berkeley,m,NA,5,Did Not Answer,Uncertain,"Question A: Holding labor market institutions and job training fixed, rising use of robots and artificial intelligence is likely to increase substantially the number of workers in advanced countries who are unemployed for long periods.",
Aaron Edlin,83,Berkeley,m,NA,7,Did Not Answer,Agree,Question B: Rising use of robots and artificial intelligence in advanced countries is likely to create benefits large enough that they could be used to compensate those workers who are substantially negatively affected for their lost wages.,
Aaron Edlin,84,Berkeley,m,3,5,Disagree,Disagree,"Question A: If the Fed changed its inflation target from 2% to 4%, the long-run costs of inflation for households would be essentially unchanged.",
Aaron Edlin,85,Berkeley,m,4,5,Disagree,Agree,Question B: Raising the inflation target to 4% would make it possible for the Fed to lower rates by a greater amount in a future recession.,
Aaron Edlin,86,Berkeley,m,NA,5,No Opinion,Uncertain,"If the US reduced its fiscal deficit, then its trade deficit would also shrink.",
Aaron Edlin,87,Berkeley,m,8,7,Agree,Agree,"Question A: The US should increase spending now on roads, railways, bridges and airports (including new projects, maintenance or both).",
Aaron Edlin,88,Berkeley,m,7,6,Disagree,Disagree,"Question B: The advisability of increasing federal spending on roads, railways, bridges and airports is independent of whether the US also enacts tax cuts that substantially lower revenues.",
Aaron Edlin,89,Berkeley,m,8,8,Strongly Agree,Agree,"Because labor markets across different sectors are connected, rising productivity in manufacturing leads the cost of labor-intensive services — such as education and health care — to rise.","True, by and large with some caveats."
Aaron Edlin,90,Berkeley,m,7,7,Agree,Agree,"Question A: Since 1980, whenever substantial growth effects have been required to make a tax reform plan revenue neutral, the actual outcome has invariably been a fall in tax revenue as a share of GDP.",
Aaron Edlin,91,Berkeley,m,9,8,Strongly Disagree,Strongly Disagree,Question B: The tax reform plan proposed by President Trump this week would likely pay for itself through higher economic growth.,
Aaron Edlin,92,Berkeley,m,NA,4,Did Not Answer,Disagree,"Question A: Implementing a ""destination based cash flow tax (including border adjustment)"" of the type advocated by Speaker Ryan would substantially reduce the US trade deficit within the next few years.",
Aaron Edlin,93,Berkeley,m,NA,5,Did Not Answer,Disagree,Question B: Implementing a “destination based cash flow tax (including border adjustment)” of the type advocated by Speaker Ryan would substantially raise prices for US consumers.,
Aaron Edlin,94,Berkeley,m,5,9,Strongly Agree,Strongly Agree,"Question A: Forecasting the effects of complex legislative actions is hard, so even competent, non-ideological and non-partisan projections could differ substantially from outcomes.",
Aaron Edlin,95,Berkeley,m,6,7,Agree,Agree,"Question B: Adjusting for legal restrictions on what the CBO can assume about future legislation and events, the CBO has historically issued credible forecasts of the effects of both Democratic and Republican legislative proposals.",
Aaron Edlin,96,Berkeley,m,7,7,Disagree,Disagree,"Question A: If the US significantly lowers the number of H-1B visas now, expected US tax revenues will rise materially over the next four years.",
Aaron Edlin,97,Berkeley,m,6,6,Disagree,Disagree,"Question B: If the US significantly lowers the number of H-1B visas now, employment for American workers will rise materially over the next four years.",
Aaron Edlin,98,Berkeley,m,NA,5,No Opinion,Agree,Providing state and local subsidies to build stadiums for professional sports teams is likely to cost the relevant taxpayers more than any local economic benefits that are generated.,
Aaron Edlin,99,Berkeley,m,7,6,Agree,Agree,Question A: US share prices have risen since Donald Trump’s election victory at least partly because the policies he seems poised to implement are likely to increase US after-tax corporate profits.,
Aaron Edlin,100,Berkeley,m,4,5,Agree,Disagree,Question B: US share prices have risen since Donald Trump’s election victory at least partly because the policies he seems poised to implement are likely to increase US real GDP growth.,
Aaron Edlin,101,Berkeley,m,10,7,Strongly Agree,Agree,The Council of Economic Advisors is likely to give the US president better policy advice if the Chair and Members of the CEA have published peer-reviewed economics research.,"There is no scarcity of advisers who are not peer-reviewed economists. NEC, Treasury, Commerce, etc. Academics have a valuable perspective."
Aaron Edlin,102,Berkeley,m,7,6,Disagree,Strongly Disagree,"Question A: If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.",
Aaron Edlin,103,Berkeley,m,7,6,Disagree,Strongly Disagree,"Question B: If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.",
Aaron Edlin,104,Berkeley,m,7,4,Disagree,Disagree,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.,
Aaron Edlin,105,Berkeley,m,5,6,Agree,Agree,"Long run fiscal sustainability in the US will require some combination of cuts in currently promised Medicare, Medicaid and Social Security benefits and/or tax increases that include higher taxes on households with incomes below $250,000.",
Aaron Edlin,106,Berkeley,m,7,7,Disagree,Strongly Disagree,"Adding new or higher import duties on products such as air conditioners, cars, and cookies — to encourage producers to make them in the US — would be a good idea.",
Aaron Edlin,107,Berkeley,m,7,6,Agree,Agree,Question A: Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.,
Aaron Edlin,108,Berkeley,m,7,7,Agree,Agree,Question B: Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.,
Aaron Edlin,109,Berkeley,m,2,5,Agree,Agree,"Question A: Because of the Brexit vote's outcome, the UK's real per-capita income level is likely to be lower a decade from now.",
Aaron Edlin,110,Berkeley,m,2,5,Agree,Agree,"Question B: Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.",
Aaron Edlin,111,Berkeley,m,6,6,Disagree,Disagree,"Granting every American citizen over 21-years old a universal basic income of $13,000 a year — financed by eliminating all transfer programs (including Social Security, Medicare, Medicaid, housing subsidies, household welfare payments, and farm and corporate subsidies) — would be a better policy than the status quo.",
Aaron Edlin,112,Berkeley,m,NA,4,Did Not Answer,Uncertain,The ratio of the 90th to the 10th percentile of the US income distribution has been unaffected by the Federal Reserve's unconventional monetary policies since the financial crisis.,
Aaron Edlin,113,Berkeley,m,7,7,Agree,Agree,The “Cadillac tax” on expensive employer-provided health insurance plans will reduce costly distortions in US health care if it is allowed to take effect as scheduled in 2018.,
Aaron Edlin,114,Berkeley,m,3,5,Agree,Uncertain,"Question A: The four largest domestic US banks currently have around 40% of the industry’s domestic assets (an average of 10% each). In early 1998, before Glass-Steagall ended and before Citicorp merged with Travelers, they held 13.2% (an average of 3.3% each). Thirty years ago, before interstate branching was fully permitted, that combined share was around 8% (an average of 2% each).
Capping US banks’ size so that no single bank could be larger than 4% of the sector's domestic assets would lower systemic risk in the US.",
Aaron Edlin,115,Berkeley,m,NA,4,No Opinion,Uncertain,Question B: The US financial system would contribute more to the average American's welfare if the size of US banks were capped so that none could be larger than 4% of the sector's domestic assets.,
Aaron Edlin,116,Berkeley,m,9,8,Strongly Agree,Strongly Agree,"Question A: By providing important measures of US economic performance — including employment, consumer prices, wages, job openings, time allocation in households, and productivity — the Bureau of Labor Statistics creates social benefits that exceed its annual cost of roughly $610 million.",Just one example: until directed to BLS stats many think inflation much higher than it is. And expectations drive inflation.
Aaron Edlin,117,Berkeley,m,7,7,Strongly Agree,Strongly Agree,"Question B: Cuts in BLS spending would likely involve net social costs because potential declines in the quality of data, and thus their usefulness to researchers and decision makers, would exceed any budget savings.",
Aaron Edlin,118,Berkeley,m,7,6,Disagree,Disagree,An important reason why many workers in Michigan and Ohio have lost jobs in recent years is because US presidential administrations over the past 30 years have not been tough enough in trade negotiations.,
Aaron Edlin,119,Berkeley,m,10,8,Strongly Agree,Strongly Agree,"Question A: There is no perfect voting system. That is, no voting system can ensure that the winner will be the person who best represents voters’ wishes, including how intensely they favor or disfavor each candidate.",
Aaron Edlin,120,Berkeley,m,7,8,Agree,Agree,"Question B: One clear defect of a winner-take-all election with 3 or more candidates, and with each voter choosing only one candidate, is that a candidate who is strongly disliked by a majority, but strongly liked by a minority, can beat a candidate who is liked by a majority and disliked by relatively few.","I would say ""imperfection"" not defect. Compared to what, though is the question, as there is no perfect system ..."
Aaron Edlin,121,Berkeley,m,7,7,Disagree,Disagree,"Large movements in monthly oil prices, either up or down, are driven primarily by speculators, as opposed to changes in the current (and planned) supply or demand for oil.",
Aaron Edlin,122,Berkeley,m,7,5,Uncertain,Uncertain,"Question A: If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.",
Aaron Edlin,123,Berkeley,m,7,6,Agree,Agree,"Question B: If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.",
Aaron Edlin,124,Berkeley,m,5,6,Agree,Agree,"China’s growth model, specifically the unusually high investment rate and low consumption rate, is unsustainable.",
Aaron Edlin,125,Berkeley,m,7,6,Disagree,Agree,"An annual December spending surge on parties, gift-giving and personal travel delivers net social benefits.",There is a difference between saying the holiday season confers net social benefits and that all the spending does.
Aaron Edlin,126,Berkeley,m,6,5,Agree,Uncertain,Question A: The Fed should raise its target interest rate when it meets in mid-December.,
Aaron Edlin,127,Berkeley,m,6,6,Disagree,Disagree,"Question B: The Fed should have raised interest rates sooner, rather than leaving them near zero for this long.",
Aaron Edlin,128,Berkeley,m,5,5,Agree,Uncertain,Question A: Letting publicly traded US firms report earnings annually rather than quarterly would lead their executives to place more weight on long-term issues in their investments and other decisions.,
Aaron Edlin,129,Berkeley,m,6,5,Agree,Uncertain,"Question B: A switch from quarterly to annual earnings reports would, on net, benefit shareholders.",
Aaron Edlin,130,Berkeley,m,6,5,Uncertain,Agree,Comparing their students’ average gains on standardized tests over the school year makes it easier to predict which teachers — all else equal — are more likely to improve their student’s long-term life outcomes.,"hvjhv
-see background information here"
Aaron Edlin,131,Berkeley,m,5,5,Agree,Uncertain,"Question A: The association between health and economic growth in poor countries primarily involves faster growth generating better health, rather than the other way around.",
Aaron Edlin,132,Berkeley,m,6,5,Disagree,Uncertain,"Question B: The decline in the fraction of people with incomes under, say, $1 per day is a good measure of whether well-being is improving among low-income populations.",
Aaron Edlin,133,Berkeley,m,6,6,Disagree,Disagree,Question A: Expanding health insurance to more people through the ACA’s public subsidies and Medicaid expansion will reduce total healthcare spending in the economy.,More insurance could lead to more usage and more spending. The countervailing hope is cost containment or prevention of expensive treatment.
Aaron Edlin,134,Berkeley,m,7,6,Agree,Agree,Question B: Expanding health insurance to more people through the ACA’s public subsidies and Medicaid expansion will generate gains in the health and well-being of the newly insured that exceed the costs.,
Aaron Edlin,135,Berkeley,m,4,5,Disagree,Uncertain,"Question A: If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.",
Aaron Edlin,136,Berkeley,m,4,5,Disagree,Disagree,Question B: Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,
Aaron Edlin,137,Berkeley,m,6,5,Uncertain,Uncertain,The median Greek citizen will be better off if there is a “yes” vote in the July 5 referendum on whether to accept the terms of the bailout package offered by Greece's creditors.,
Aaron Edlin,138,Berkeley,m,7,5,Agree,Uncertain,Question A: Economic analysis can identify whether countries are using their exchange rates to benefit their own people at the expense of their trading partners’ welfare.,
Aaron Edlin,139,Berkeley,m,7,5,Uncertain,Disagree,Question B: Bank of Japan monetary policies that result in a weaker yen make Americans generally worse off.,
Aaron Edlin,140,Berkeley,m,8,8,Strongly Agree,Strongly Agree,"Behavior in many complex and seemingly intractable strategic settings can be understood more clearly by working out what each party in the game will choose to do if they realize that the other parties will be solving the same problem. This insight has helped us understand behavior as diverse as military conflicts, price setting by competing firms and penalty kicking in soccer.",
