Name,Question,Institution,gender,Confidence,Medianconf,Vote,Median,Comment,Topic,Qtext
Patrick Honohan,51,Trinity College Dublin,m,8,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Eliana La Ferrara,51,Bocconi,f,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Richard Portes,51,London Business School,m,9,8,Strongly Agree,Agree,"Productivity is micro, monetary policy and macropru are macro.",Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Veronica Guerrieri,51,Chicago Booth,f,9,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Kevin O'Rourke,51,Oxford,m,7,8,Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Philippe Aghion,2,Harvard,m,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Costas Meghir,51,Yale,m,8,8,Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
John Vickers,51,Oxford,m,9,8,Agree,Agree,Financial stability -- e.g. more bank equity capital -- helps investment incentives and productivity (but maybe is part of macro stability),Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Lucrezia Reichlin,51,London Business School,f,10,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Luis Garicano,30,LSE,m,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Karl Whelan,51,University College Dublin,m,5,8,Uncertain,Agree,"Even over a decade, macroeconomic stability and preventing investment slumps can probably have a positive influence on productivity.",Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Jordi Galí,51,Universitat Pompeu Fabra,m,9,8,Strongly Agree,Agree,And it is doubtful the reducing macro stability further in the UK would attain any significant gains in terms of productivity growth.,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Richard William Blundell,51,University College London,m,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Henrik Kleven,45,Princeton,m,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Rafael Repullo,51,CEMFI,m,8,8,Strongly Agree,Agree,What a crazy idea!,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Hélène Rey,51,London Business School,f,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Canice Prendergast,51,Chicago Booth,m,7,8,Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Charles Wyplosz,51,The Graduate Institute Geneva,m,1,8,Strongly Agree,Agree,Myriads of attempts to use central banks to boost growth have ended up in failure. Why can't people learn from the past?,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Olivier Blanchard,51,Peterson Institute,m,9,8,Strongly Agree,Agree,"why not ask for 10% productivity growth? (one footnote: hysteresis, if present, implies a slightly more aggressive monetary policy)",Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Jan Eeckhout,51,University College London,m,10,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Peter Neary,51,Oxford,m,6,8,Strongly Agree,Agree,This target is hard to influence with any instrument; monetary policy is not the right one,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Antoinette Schoar,51,MIT,f,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Paul De Grauwe,51,LSE,m,9,8,Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Nicola Fuchs-Schündeln,51,Goethe-Universität Frankfurt,f,9,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Torsten Persson,51,Stockholm University,m,8,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
John Van Reenen,51,MIT,m,8,8,Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Beatrice Weder di Mauro,51,Gutenberg University Mainz and INSEAD,f,9,8,Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Pol Antras,51,Harvard,m,5,8,Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Elena Carletti,51,Bocconi,f,5,8,Uncertain,Agree,"Even over a ten-year horizon, maintaining macroeconomic stability and avoiding slumps in investment can probably affect productivity.",Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Jean-Pierre Danthine,51,Paris School of Economics,m,10,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Per Krusell,33,Stockholm University,m,10,8,Strongly Agree,Agree,I know of no result in the literature suggesting monetary policy would be able to affect technology growth.,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Timothy J. Besley,45,LSE,m,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Lubos Pastor,51,Chicago Booth,m,10,8,Strongly Agree,Agree,Just like drinking coffee cannot make you more productive in the long run.,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Jan Pieter Krahnen,51,Goethe University Frankfurt,m,7,8,Agree,Agree,"Quite an absurd suggestion, vastly overestimating what monetary policy can achieve - in the end frustrating central bankers and the public.",Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Christopher Pissarides,51,LSE,m,1,8,Strongly Agree,Agree,"Productivity growth depends on technology, infrastructure and the like. Monetary policy has nothing to do with it",Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Francesco Giavazzi,51,Bocconi,m,10,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Botond Kőszegi,51,Central European University,m,NA,8,No Opinion,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Beata Javorcik,48,University of Oxford,f,8,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Torsten Persson,48,Stockholm University,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Henrik Kleven,42,Princeton,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Hans-Joachim Voth,48,University of Zurich,m,6,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Richard William Blundell,48,University College London,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Fabrizio Zilibotti,48,Yale,m,10,7,Strongly Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Luigi Guiso,48,Einaudi Institute for Economics and Finance,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Ernst Fehr,48,Universität Zurich,m,8,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Christian Leuz,48,Chicago Booth,m,6,7,Agree,Agree,Non-rivalry gives rise to increasing returns to scale; most ideas are non-rival (unless protected) and central to technological change.,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Timothy J. Besley,42,LSE,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Hélène Rey,48,London Business School,f,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Veronica Guerrieri,48,Chicago Booth,f,6,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Rachel Griffith,48,University of Manchester,f,9,7,Strongly Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
John Van Reenen,48,MIT,m,8,7,Agree,Agree,"Ideas are non-rival hence do not get constant returns to scale at macro-level because standard replication argument breaks down.
-see background information here",Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Agnès Bénassy-Quéré,48,Paris School of Economics,f,1,7,Uncertain,Agree,I am not sure this is just due to ideas being non-rival.,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Karl Whelan,48,University College Dublin,m,5,7,Uncertain,Agree,Nonrivalry of ideas is important for growth and means there are positive externalities to research. Does not have to mean economy-wide IRS.,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Eliana La Ferrara,48,Bocconi,f,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Rafael Repullo,48,CEMFI,m,5,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Patrick Honohan,48,Trinity College Dublin,m,NA,7,No Opinion,Agree,The premise is OK but the inference seems too vaguely sweeping...,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Xavier Freixas,48,Universitat Pompeu Fabra,m,7,7,Strongly Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Lucrezia Reichlin,48,London Business School,f,5,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Nicola Fuchs-Schündeln,48,Goethe-Universität Frankfurt,f,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Daniel Sturm,48,London School of Economics,m,7,7,Strongly Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Marco Pagano,48,Università di Napoli Federico II,m,8,7,Strongly Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Lubos Pastor,48,Chicago Booth,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Richard Portes,48,London Business School,m,5,7,Strongly Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Olivier Blanchard,48,Peterson Institute,m,8,7,Strongly Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Botond Kőszegi,48,Central European University,m,3,7,Disagree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Francesco Giavazzi,48,Bocconi,m,10,7,Uncertain,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Jordi Galí,48,Universitat Pompeu Fabra,m,9,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Paul De Grauwe,48,LSE,m,8,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Beatrice Weder di Mauro,48,Gutenberg University Mainz and INSEAD,f,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Luis Garicano,27,LSE,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Franklin Allen,48,Imperial College London,m,5,7,Uncertain,Agree,Not exactly sure what the question is suggesting.,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Christopher Pissarides,48,LSE,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Elena Carletti,48,Bocconi,f,NA,7,No Opinion,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Peter Neary,48,Oxford,m,8,7,Agree,Agree,"Ideas can be protected, and imitation is costly, but the statement is broadly correct, with huge implications for R&D and antitrust policy
-see background information here
-see background information here",Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Canice Prendergast,48,Chicago Booth,m,8,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Pol Antras,48,Harvard,m,2,7,Uncertain,Agree,The fact that ideas are nonrival points to aggregate increasing returns to scale in the production of goods (not in technical change),Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Antoinette Schoar,48,MIT,f,4,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Thierry Mayer,48,Sciences-Po,m,9,7,Strongly Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Kevin O'Rourke,48,Oxford,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Jan Pieter Krahnen,48,Goethe University Frankfurt,m,5,7,Uncertain,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Costas Meghir,48,Yale,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
John Vickers,48,Oxford,m,7,7,Agree,Agree,Assuming the question means increasing returns in production of output (as distinct from production of new technologies),Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Jean-Pierre Danthine,48,Paris School of Economics,m,NA,7,Did Not Answer,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Per Krusell,30,Stockholm University,m,8,7,Agree,Agree,"For motivation, see the brilliant document provided by the prize committee! :-) IRS also requires at least CRS in non-idea inputs.",Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Nicholas Bloom,48,Stanford,m,8,7,Strongly Agree,Agree,Key idea in modern economics,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Jan Eeckhout,48,University College London,m,9,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Charles Wyplosz,48,The Graduate Institute Geneva,m,7,7,Agree,Agree,,Increasing Returns,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Antoinette Schoar,83,MIT,f,9,9,Strongly Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Per Krusell,65,Stockholm University,m,9,9,Strongly Agree,Strongly Agree,I don't know of any convincing systematic evidence to the contrary.,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Ernst Fehr,83,Universität Zurich,m,NA,9,Did Not Answer,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Richard Portes,83,London Business School,m,6,9,Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
John Vickers,83,Oxford,m,6,9,Agree,Strongly Agree,Assuming a degree of risk aversion. However some investors might rationally want some exposure to assets not available passively.,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Timothy J. Besley,77,LSE,m,NA,9,Did Not Answer,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Rachel Griffith,83,University of Manchester,f,8,9,Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Richard Baldwin,11,The Graduate Institute Geneva,m,NA,9,Did Not Answer,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Henrik Kleven,77,Princeton,m,7,9,Strongly Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Canice Prendergast,83,Chicago Booth,m,9,9,Strongly Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Marco Pagano,83,Università di Napoli Federico II,m,10,9,Strongly Agree,Strongly Agree,A no-brainer.,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Olivier Blanchard,83,Peterson Institute,m,9,9,Strongly Agree,Strongly Agree,This is a no brainer. The only qualification is that the diversified portfolio may not be exactly the market portfolio.,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Karl Whelan,83,University College Dublin,m,10,9,Strongly Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Richard William Blundell,83,University College London,m,NA,9,Did Not Answer,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Rafael Repullo,83,CEMFI,m,10,9,Strongly Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
John Van Reenen,83,MIT,m,7,9,Strongly Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Nicola Fuchs-Schündeln,83,Goethe-Universität Frankfurt,f,8,9,Strongly Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Lucrezia Reichlin,83,London Business School,f,6,9,Agree,Strongly Agree,,Diversified Investing,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
