Name,Question,Institution,Gender,Confidence,Medianconf,Vote,Median,Comment,Topic,Qtext
Robert Hall,12,Stanford,m,9,5,Uncertain,Uncertain,Some would gain and some would lose—payday loans are not all harmful,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
William Nordhaus,12,Yale,m,5,5,Agree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Darrell Duffie,12,Stanford,m,5,5,Disagree,Uncertain,"Meltzer (2011) finds that payday loans do not alleviate hardship. But banning the market may be dominated by stronger regulation.
-see background information here",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Barry Eichengreen,12,Berkeley,m,5,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Anil Kashyap,12,Chicago,m,9,5,Uncertain,Uncertain,"i doubt it is a generically good idea, but the research is very mixed, despite many, many papers; see the literature review by morgan et al
-see background information here",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Joseph Altonji,12,Yale,m,4,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Raj Chetty,12,Stanford,m,NA,5,Did Not Answer,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Maurice Obstfeld,12,Berkeley,m,4,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Robert Shimer,12,Chicago,m,3,5,Disagree,Uncertain,"No evidence of market power in this industry, so this seems to go against revealed preference. What markets arise if this is banned?",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Kenneth Judd,12,Stanford,m,5,5,Agree,Uncertain,"I generally favor allowing voluntary transactions, but I suspect that demand is usually driven by behavior inconsistent with rationality.",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Aaron Edlin,12,Berkeley,m,7,5,Disagree,Uncertain,Disclosure rules and banning rollover makes more sense. Sometimes people need credit.,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Alberto Alesina,12,Harvard,m,4,5,Agree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
José Scheinkman,12,Columbia University,m,5,5,Uncertain,Uncertain,"There is evidence that taking a payday loan increases bankruptcy but should first try other measures such as enforcing better disclosure.
-see background information here",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Angus Deaton,12,Princeton,m,5,5,Uncertain,Uncertain,Seem like good arguments on both sides,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Richard Thaler,12,Chicago,m,4,5,Disagree,Uncertain,Loan sharks may be worse.,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Daron Acemoglu,12,MIT,m,4,5,Uncertain,Uncertain,"There is a demand for these loans, but also miscalculations and longer-term problems for borrowers, including for their families.",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Bengt Holmström,12,MIT,m,5,5,Agree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Pete Klenow,12,Stanford,m,2,5,Agree,Uncertain,#NAME?,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Jonathan Levin,12,Stanford,m,4,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Oliver Hart,12,Harvard,m,6,5,Agree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
David Autor,208,MIT,m,5,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Luigi Zingales,10,Chicago,m,5,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Pinelopi Goldberg,161,Yale,f,5,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Claudia Goldin,9,Harvard,f,4,6,Strongly Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Jonathan Levin,208,Stanford,m,4,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Ray Fair,208,Yale,m,5,6,Strongly Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Richard Schmalensee,208,MIT,m,3,6,Agree,Agree,This is a very new animal; hard to be confident about it.,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Eric Maskin,208,Harvard,m,8,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Daron Acemoglu,207,MIT,m,6,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Nancy Stokey,43,Chicago,f,6,6,Agree,Agree,As is true for any fiat money---and also for any commodity money.,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Hyun Song Shin,21,Princeton,m,7,6,Uncertain,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Richard Thaler,208,Chicago,m,4,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
David Cutler,208,Harvard,m,7,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
William Nordhaus,208,Yale,m,7,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Kenneth Judd,208,Stanford,m,4,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Alan Auerbach,208,Berkeley,m,7,6,Strongly Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Robert Hall,208,Stanford,m,8,6,Agree,Agree,"In principle, production cost puts a ceiling on its value, but there is no floor. No protection from competition, unlike the dollar.",Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Angus Deaton,208,Princeton,m,1,6,Uncertain,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Austan Goolsbee,207,Chicago,m,10,6,Strongly Agree,Agree,Hahahaha. ROTFL.,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Alberto Alesina,208,Harvard,m,NA,6,Did Not Answer,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Judith Chevalier,208,Yale,f,8,6,Agree,Agree,"Unlike government issued fiat money, there is no guarantee it can be used to pay taxes or settle other obligations.",Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Michael Greenstone,208,Chicago,m,7,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Emmanuel Saez,208,Berkeley,m,7,6,Strongly Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Barry Eichengreen,208,Berkeley,m,7,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Aaron Edlin,208,Berkeley,m,5,6,Disagree,Agree,"It is likely to fluctuate in value in the future for the reasons it has fluctuated in the past, whatever those are.",Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Marianne Bertrand,208,Chicago,f,1,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Janet Currie,57,Princeton,f,6,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Bengt Holmström,208,MIT,m,6,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Raj Chetty,208,Stanford,m,7,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Christopher Udry,208,Northwestern,m,3,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Maurice Obstfeld,65,Berkeley,m,NA,6,No Opinion,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Pete Klenow,208,Stanford,m,5,6,Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Joseph Altonji,208,Yale,m,7,6,Strongly Agree,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Anil Kashyap,208,Chicago,m,7,6,Strongly Agree,Agree,It is already trading like a speculative asset and no reason why that will cease.,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Darrell Duffie,208,Stanford,m,8,6,Disagree,Agree,Bitcoin usefulness is limited mainly by other factors. Currencies can be useful for trade in large part because they are accepted for trade.,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Katherine Baicker,207,Chicago,f,NA,6,No Opinion,Agree,,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Caroline Hoxby,207,Stanford,f,6,6,Uncertain,Agree,First part is right: value derives frm belief others want to use it for trade. Second part is not obvious: beliefs could stabilize or not.,Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
José Scheinkman,208,Columbia University,m,9,6,Agree,Agree,"Fiat currencies depend on belief others will use it, but national currencies can be used for taxes and can depend on some gov. support.",Bitcoin,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness."
Abhijit Banerjee,184,MIT,m,8,7,Disagree,Uncertain,That would mean valuing people's lives by their incomes. We already do that but moving further in that direction seems wrong.,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Janet Currie,33,Princeton,f,5,7,Uncertain,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Nancy Stokey,19,Chicago,f,1,7,Uncertain,Uncertain,It would surely save lives of those with kidney disease. It would probably have unintended consequences as well.,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Carl Shapiro,184,Berkeley,m,8,7,Agree,Uncertain,"Experiments seem valuable here, using health outcomes as our metric. Matching donors and recipients based in part on payment may be helpful.",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Oliver Hart,178,Harvard,m,8,7,Agree,Uncertain,I'd like to see it but I'm not sure the public is ready. Also would insurance cover this? Would people be able to top up (presumably)?,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Anil Kashyap,184,Chicago,m,7,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Alberto Alesina,184,Harvard,m,7,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Eric Maskin,184,Harvard,m,7,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Aaron Edlin,184,Berkeley,m,7,7,Uncertain,Uncertain,"Dangerous ground, but a well-regulated experiment could be beneficial. Payments to fill out donor cards might increase supply, for example",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Robert Hall,184,Stanford,m,9,7,Uncertain,Uncertain,Hard to know because we don't have much of an understanding of why people make organ gifts.,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Ray Fair,184,Yale,m,NA,7,Did Not Answer,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Pinelopi Goldberg,137,Yale,f,NA,7,Did Not Answer,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Hilary Hoynes,184,Berkeley,f,8,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Liran Einav,184,Stanford,m,7,7,Strongly Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Jonathan Levin,184,Stanford,m,NA,7,Did Not Answer,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Markus Brunnermeier,184,Princeton,m,6,7,Agree,Uncertain,"It is important that the market is ""well regulated"" in order to avoid abuse and exploitation of the vulnerables.",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Raj Chetty,184,Stanford,m,1,7,Uncertain,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Amy Finkelstein,184,MIT,f,8,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
David Autor,184,MIT,m,NA,7,No Opinion,Uncertain,Not enough info to answer. Not in favor of a kidney market that sells to highest bidder. Other ideas maybe. Question is not actionable.,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Maurice Obstfeld,41,Berkeley,m,1,7,Uncertain,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Richard Thaler,184,Chicago,m,5,7,Uncertain,Uncertain,How should we incorporate the fact that nearly all non-economists hate this idea? Do we declare them wrong and proceed?,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Richard Schmalensee,184,MIT,m,7,7,Uncertain,Uncertain,"How to deal with donors who don't understand risks, increased incentives to steal & import, perceived inequities...? Not simple.",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Pete Klenow,184,Stanford,m,3,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
William Nordhaus,184,Yale,m,5,7,Agree,Uncertain,Perhaps experiments in different regimes better idea.,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Michael Greenstone,184,Chicago,m,8,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Barry Eichengreen,184,Berkeley,m,1,7,Uncertain,Uncertain,A market with or without subsidies for low income patients?,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Steven Kaplan,184,Chicago,m,8,7,Uncertain,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Alan Auerbach,184,Berkeley,m,5,7,Uncertain,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Christopher Udry,184,Northwestern,m,1,7,Strongly Agree,Uncertain,"As an economist, I strongly agree that there would be tremendous gains. But I'm uncertain of the appropriate bounds on market transactions.
-see background information here
-see background information here",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Judith Chevalier,184,Yale,f,9,7,Strongly Agree,Uncertain,This certainly may have unintended consequences but it is hard to fault attempting to create more supply.,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Marianne Bertrand,184,Chicago,f,3,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Robert Shimer,184,Chicago,m,7,7,Strongly Agree,Uncertain,"The biggest impact would be to increase kidney supply, so few obvious losers from this policy",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Joseph Altonji,184,Yale,m,NA,7,Did Not Answer,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
David Cutler,184,Harvard,m,6,7,Strongly Disagree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Emmanuel Saez,184,Berkeley,m,NA,7,Did Not Answer,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Caroline Hoxby,184,Stanford,f,8,7,Uncertain,Uncertain,Would improve allocative efficiency but means- and health-conditioned vouchers would presumably have to be used to address ethical concerns.,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Darrell Duffie,184,Stanford,m,3,7,Agree,Uncertain,"Under strong governance that mitigates exploitation, this market may save lives on mutually consenting terms.",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Bengt Holmström,184,MIT,m,5,7,Disagree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Kenneth Judd,184,Stanford,m,10,7,Strongly Agree,Uncertain,"There is no reason to block this voluntary exchange. There may be unique challenges in applying laws against fraud, but nothing too hard.",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
José Scheinkman,184,Columbia University,m,6,7,Agree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Angus Deaton,184,Princeton,m,8,7,Strongly Disagree,Uncertain,,Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Larry Samuelson,184,Yale,m,6,7,Disagree,Uncertain,"We need to rationalize our organ allocation mechanism, but a market is not the only way, and is not obviously the best way.",Supplying Kidneys,A market that allows payment for human kidneys should be established on a trial basis to help extend the lives of patients with kidney disease.
Alberto Alesina,104,Harvard,m,NA,4,Did Not Answer,Disagree,,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Steven Kaplan,104,Chicago,m,10,4,Uncertain,Disagree,ATT and Time Warner stocks lost $10 billion at deal announcement. Questions opportunity to raise prices and efficiency gains.,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Robert Shimer,104,Chicago,m,5,4,Agree,Disagree,"This is mostly vertical integration, which should reduce double marginalization.",AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Richard Thaler,104,Chicago,m,1,4,Uncertain,Disagree,Bigger does not always mean worse. As a United flier ny consumer surplus went up when they merged with Continental. Don't know here.,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Liran Einav,104,Stanford,m,5,4,Uncertain,Disagree,,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Alan Auerbach,104,Berkeley,m,3,4,Uncertain,Disagree,,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Angus Deaton,104,Princeton,m,1,4,Disagree,Disagree,,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Amy Finkelstein,104,MIT,f,NA,4,Did Not Answer,Disagree,,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Larry Samuelson,104,Yale,m,1,4,Uncertain,Disagree,"It is not clear what synergies would provide the foundation for increased consumer surplus, nor are the effects on competition clear.",AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Pinelopi Goldberg,57,Yale,f,NA,4,No Opinion,Disagree,,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Christopher Udry,104,Northwestern,m,NA,4,Did Not Answer,Disagree,,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Anil Kashyap,104,Chicago,m,NA,4,No Opinion,Disagree,,AT&T and Time Warner,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
