Name,Question,Qtext
Daron Acemoglu,CONF_23,"Question A: Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade."
Daron Acemoglu,CONF_24,Question B: The physical risks associated with climate change under current policies are likely to threaten financial stability over the next decade.
Daron Acemoglu,CONF_25,"Taking into account the revenues, consumer surplus, purchasing patterns by income, and possible consumer biases, state-run lotteries (such as Powerball and scratch-off games) increase social welfare."
Daron Acemoglu,CONF_26,Question A: Randomized control trials are a valuable tool for answering some long unsettled questions in development economics research.
Daron Acemoglu,CONF_27,Question B: Randomized control trials are a valuable tool for making significant progress in poverty reduction.
Daron Acemoglu,CONF_28,Question A: Rising inequality is straining the health of liberal democracy.
Daron Acemoglu,CONF_29,Question B: Enacting more redistributive expenditures and policies would be likely to limit the rise of populism.
Daron Acemoglu,CONF_30,"Question C:
Governments should allocate more resources to policies that would be likely to limit the rise of populism, even if it means higher public debt or lower public spending in other areas."
Daron Acemoglu,CONF_31,Question A: Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.
Daron Acemoglu,CONF_32,"Question B: Appropriately managed corporations could create significantly greater value than they currently do for a range of stakeholders – including workers, suppliers, customers and community members – with negligible impacts on shareholder value."
Daron Acemoglu,CONF_33,Question C: Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce.
Daron Acemoglu,CONF_34,"A substantial source of the value of decentralized private cryptocurrencies, such as Bitcoin, arises from their convenience for use in illegal activities."
Daron Acemoglu,CONF_35,"Question A: In a case like the US women’s national soccer team where the revenues that they generate and their on-field performance both exceed those of the men’s team, there is no justification for lower pay."
Daron Acemoglu,CONF_36,Question B: Fining companies above a certain size that fail to provide the same remuneration to men and women employees performing comparable roles would be an effective way of closing the gender pay gap.
Daron Acemoglu,CONF_37,Question A: Mexico's persistent bilateral trade surplus with the United States implies that Mexico is following policies that keep the peso artificially weak against the US dollar.
Daron Acemoglu,CONF_38,"Question B: The existence of a multi-year trade deficit of Country A with Country B implies that B has successfully tilted the playing field in its favor in terms of such policies as tariffs, non-tariff barriers, and the exchange rate between them."
Daron Acemoglu,CONF_39,Question A: The first required class for undergraduate economics majors at my university accurately reflects the way that economists think about a range of economics problems.
Daron Acemoglu,CONF_40,Question B: The first required class for undergraduate economics majors at my university addresses the most pressing economic issues in the US.
Daron Acemoglu,CONF_41,Question A: The incidence of the latest round of US import tariffs is likely to fall primarily on American households.
Daron Acemoglu,CONF_42,Question B: The impact of the tariffs – and any Chinese countermeasures – on US prices and employment is likely to be felt most heavily by lower income groups and regions.
Daron Acemoglu,CONF_43,Selecting candidates for membership of the Federal Open Market Committee (FOMC) based primarily on their political views would lead to worse monetary policy outcomes than has been the case over the last 15 years.
Daron Acemoglu,CONF_44,Question A: The admission of children of alumni and donors at elite private colleges and universities crowds out applicants with greater academic potential.
Daron Acemoglu,CONF_45,Question B: The net effect of admitting children of alumni and donors (including any impact on donations and any losses of other high potential applicants) is likely to be a reduction in the contribution of colleges and universities to society.
Daron Acemoglu,CONF_46,Question A: Senator Warren’s proposed wealth tax would be much more difficult to enforce than existing federal taxes because of difficulties of valuation and the ways by which the wealthy can under-report their true wealth.
Daron Acemoglu,CONF_47,"Question B: If successfully enforced, Senator Warren’s proposed wealth tax would substantially decrease the share of wealth going to the top 0.1% of wealth-holders after 20 years."
Daron Acemoglu,CONF_48,"Question C: A public policy goal that could be accomplished with a well-enforced wealth tax could be equally accomplished with modifications to existing federal taxes – for example, revising the estate tax and/or capital gains tax."
Daron Acemoglu,CONF_49,Question A: Forcing Amazon to divest Whole Foods now would be in the public interest.
Daron Acemoglu,CONF_50,Question B: Acquisitions by large tech platforms where there are risks of anti-competitive effects like those posed by Amazon’s acquisition of Whole Foods should not be permitted.
Daron Acemoglu,CONF_51,"Question C: Large tech platforms, such as Amazon Marketplace and Google Search, should be designated as ‘platform utilities' and broken apart from any participant on that platform."
Daron Acemoglu,CONF_52,Question A: Countries that borrow in their own currency should not worry about government deficits because they can always create money to finance their debt.
Daron Acemoglu,CONF_53,Question B: Countries that borrow in their own currency can finance as much real government spending as they want by creating money.
Daron Acemoglu,CONF_54,"Question A: When local governments compete by offering subsidies to a firm that is willing to relocate, and shopping across multiple alternative areas, the firm typically captures most of value that is created via the relocation."
Daron Acemoglu,CONF_55,Question B: A federal prohibition against states and municipalities offering tax subsidies to attract specific businesses that are shopping across multiple areas to relocate would be welfare improving for the average taxpayer.
Daron Acemoglu,CONF_56,"It is best for society if the management of U.S. publicly traded corporations only considers the impact of their decisions on customers, employees, and community members to the extent that these impacts feedback to impact shareholder wealth."
Daron Acemoglu,CONF_57,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks."
Daron Acemoglu,CONF_58,"Raising the top federal marginal tax on earned personal income to 70% (and holding the rest of the current tax code, including the top bracket definition, fixed) would raise substantially more revenue (federal and state, combined) without lowering economic activity."
Daron Acemoglu,CONF_59,"Rather than using second-round runoffs to settle elections in which no candidate wins a first-round majority, it would be better to use ranked-choice voting (as in the state of Maine) in which voters are encouraged to rank all of the candidates."
Daron Acemoglu,CONF_60,"The US spends roughly 17% of GDP on healthcare, according to the OECD; most European countries spend less than 12% of GDP.

Higher quality-adjusted US healthcare prices contribute relatively more to the extra US spending than does the combination of higher quantity and quality of US care (interpreting quantity and quality to reflect both greater American healthcare needs due to underlying population health and the delivery of more or better healthcare services to Americans)."
Daron Acemoglu,CONF_61,"Question A: Considering a broad range of costs and benefits is a better tool for guiding climate policy than setting temperature limits (such as 1.5 °C , eg) based on expected links between temperature increases and the extent of environmental harm."
Daron Acemoglu,CONF_62,Question B: Carbon taxes are a better way to implement climate policy than cap-and-trade.
Daron Acemoglu,CONF_63,"Ideas are nonrival, so increasing returns to scale is an essential feature of technological change in a market economy."
Daron Acemoglu,CONF_64,"If a small number of firms have a large combined market share in a properly defined market, it is strong evidence that those firms have substantial market power."
Daron Acemoglu,CONF_65,"Question A: Capping the number of ride-sharing drivers as is being discussed in New York City, Chicago and London will make the average resident in that city worse off."
Daron Acemoglu,CONF_66,"Question B: To achieve a given level of congestion, it would be better to use taxes for driving that vary based on the level of congestion, rather than limiting the number of ride-sharing vehicles."
Daron Acemoglu,CONF_67,"Because global supply chains are more important now, import tariffs are likely substantially more costly than they would have been 25 years ago."
Daron Acemoglu,CONF_68,"Britain's Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:

Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Daron Acemoglu,CONF_69,"The European Union often uses its antitrust powers to protect EU-based firms from international competition, rather than to promote greater competition in European markets."
Daron Acemoglu,CONF_70,"All things considered, US society will be better off if sports betting becomes legal in more US states (beyond Nevada)."
Daron Acemoglu,CONF_71,"Over the next decade, autonomous cars will raise average welfare in the US by at least as much as smartphones have over the past decade."
Daron Acemoglu,CONF_72,Restricting eligibility for senior government economic-policy posts by requiring a graduate degree in economics would reduce the chances for good public policy outcomes.
Daron Acemoglu,CONF_73,"NCAA Division I schools coordinate compensation for men’s basketball and football players (precluding actual pay and limiting non-monetary benefits), providing rents to member schools (which may be shared with others) at the expense of those players."
Daron Acemoglu,CONF_74,Imposing new US tariffs on steel and aluminum will improve Americans’ welfare.
Daron Acemoglu,CONF_75,"Question A: By providing electronic benefit cards to choose and buy groceries at stores, the Supplemental Nutrition Assistance Program currently does more for its recipients' well-being than it would if the program directly provided a smaller array of foods to its recipients, while commensurately reducing the amount they could spend on groceries of their own choosing."
Daron Acemoglu,CONF_76,"Question B: By providing electronic benefit cards to choose and buy groceries at stores, the Supplemental Nutrition Assistance Program currently does more to raise food security and reduce hunger than it would if the program directly provided a smaller array of foods to its recipients, while commensurately reducing the amount they could spend on groceries of their own choosing."
Daron Acemoglu,CONF_77,"The biggest reason for the measured slowdown in US productivity growth since the mid-2000s is that productivity increases have gone mismeasured, including new and better products and services that have been insufficiently captured by real output data."
Daron Acemoglu,CONF_78,"Because of the many special and unique roles that the dollar plays in global commerce, US citizens are substantially better off than they otherwise would be."
Daron Acemoglu,CONF_79,"Over the past two years, all else equal, the appeal of the US as a destination for immigrants has changed in ways that will likely decrease innovation in the US economy."
Daron Acemoglu,CONF_80,"Question A: A bitcoin has a fundamental value of at least $1,000."
Daron Acemoglu,CONF_81,Question B: The best forecast for the value of one bitcoin in 2 years is its current price.
Daron Acemoglu,CONF_82,"Question A: Without changes in policy, a rising share of people who are over age 65 will exert a substantial downward influence on per capita real GDP in western European countries."
Daron Acemoglu,CONF_83,"Question B: In European countries where the share of those over 65 is rising, there are net social benefits to adjusting retirement ages for state-financed (including pay-as-you-go) pension systems upwards, so that revised retirement ages better reflect longer life expectancies."
Daron Acemoglu,CONF_84,Question A: The concept of “maximum sustainable employment” is well defined enough to be used beneficially in economic policymaking.
Daron Acemoglu,CONF_85,Question B: Right now the US economy is operating below maximum sustainable employment.
Daron Acemoglu,CONF_86,Question A: If the US enacts a tax bill similar to those currently moving through the House and Senate — and assuming no other changes in tax or spending policy — US GDP will be substantially higher a decade from now than under the status quo.
Daron Acemoglu,CONF_87,Question B: If the US enacts a tax bill similar to those currently moving through the House and Senate — and assuming no other changes in tax or spending policy — the US debt-to-GDP ratio will be substantially higher a decade from now than under the status quo.
Daron Acemoglu,CONF_88,Question A: Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially reduce output variability in the United States.
Daron Acemoglu,CONF_89,Question B: Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially lower the cost of borrowing for the federal government.
Daron Acemoglu,CONF_90,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Daron Acemoglu,CONF_91,The influx of refugees into Germany beginning in the summer of 2015 will generate net economic benefits for German citizens over the succeeding decade.
Daron Acemoglu,CONF_92,"Question A: Holding labor market institutions and job training fixed, rising use of robots and artificial intelligence is likely to increase substantially the number of workers in advanced countries who are unemployed for long periods."
Daron Acemoglu,CONF_93,Question B: Rising use of robots and artificial intelligence in advanced countries is likely to create benefits large enough that they could be used to compensate those workers who are substantially negatively affected for their lost wages.
Daron Acemoglu,CONF_94,"Question A: If the Fed changed its inflation target from 2% to 4%, the long-run costs of inflation for households would be essentially unchanged."
Daron Acemoglu,CONF_95,Question B: Raising the inflation target to 4% would make it possible for the Fed to lower rates by a greater amount in a future recession.
Daron Acemoglu,CONF_96,"If the US reduced its fiscal deficit, then its trade deficit would also shrink."
Daron Acemoglu,CONF_97,"Question A: The US should increase spending now on roads, railways, bridges and airports (including new projects, maintenance or both)."
Daron Acemoglu,CONF_98,"Question B: The advisability of increasing federal spending on roads, railways, bridges and airports is independent of whether the US also enacts tax cuts that substantially lower revenues."
Daron Acemoglu,CONF_99,"Because labor markets across different sectors are connected, rising productivity in manufacturing leads the cost of labor-intensive services — such as education and health care — to rise."
Daron Acemoglu,CONF_100,"Question A: Since 1980, whenever substantial growth effects have been required to make a tax reform plan revenue neutral, the actual outcome has invariably been a fall in tax revenue as a share of GDP."
Daron Acemoglu,CONF_101,Question B: The tax reform plan proposed by President Trump this week would likely pay for itself through higher economic growth.
Daron Acemoglu,CONF_102,"Question A: Implementing a ""destination based cash flow tax (including border adjustment)"" of the type advocated by Speaker Ryan would substantially reduce the US trade deficit within the next few years."
Daron Acemoglu,CONF_103,Question B: Implementing a “destination based cash flow tax (including border adjustment)” of the type advocated by Speaker Ryan would substantially raise prices for US consumers.
Daron Acemoglu,CONF_104,"Question A: Forecasting the effects of complex legislative actions is hard, so even competent, non-ideological and non-partisan projections could differ substantially from outcomes."
Daron Acemoglu,CONF_105,"Question B: Adjusting for legal restrictions on what the CBO can assume about future legislation and events, the CBO has historically issued credible forecasts of the effects of both Democratic and Republican legislative proposals."
Daron Acemoglu,CONF_106,"Question A: If the US significantly lowers the number of H-1B visas now, expected US tax revenues will rise materially over the next four years."
Daron Acemoglu,CONF_107,"Question B: If the US significantly lowers the number of H-1B visas now, employment for American workers will rise materially over the next four years."
Daron Acemoglu,CONF_108,Providing state and local subsidies to build stadiums for professional sports teams is likely to cost the relevant taxpayers more than any local economic benefits that are generated.
Daron Acemoglu,CONF_109,Question A: US share prices have risen since Donald Trump’s election victory at least partly because the policies he seems poised to implement are likely to increase US after-tax corporate profits.
Daron Acemoglu,CONF_110,Question B: US share prices have risen since Donald Trump’s election victory at least partly because the policies he seems poised to implement are likely to increase US real GDP growth.
Daron Acemoglu,CONF_111,The Council of Economic Advisors is likely to give the US president better policy advice if the Chair and Members of the CEA have published peer-reviewed economics research.
Daron Acemoglu,CONF_112,"Question A: If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade."
Daron Acemoglu,CONF_113,"Question B: If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade."
Daron Acemoglu,CONF_114,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.
Daron Acemoglu,CONF_115,"Long run fiscal sustainability in the US will require some combination of cuts in currently promised Medicare, Medicaid and Social Security benefits and/or tax increases that include higher taxes on households with incomes below $250,000."
Daron Acemoglu,CONF_116,"Adding new or higher import duties on products such as air conditioners, cars, and cookies — to encourage producers to make them in the US — would be a good idea."
Daron Acemoglu,CONF_117,Question A: Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.
Daron Acemoglu,CONF_118,Question B: Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.
Daron Acemoglu,CONF_119,"Question A: Because of the Brexit vote's outcome, the UK's real per-capita income level is likely to be lower a decade from now."
Daron Acemoglu,CONF_120,"Question B: Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now."
Daron Acemoglu,CONF_121,"Granting every American citizen over 21-years old a universal basic income of $13,000 a year — financed by eliminating all transfer programs (including Social Security, Medicare, Medicaid, housing subsidies, household welfare payments, and farm and corporate subsidies) — would be a better policy than the status quo."
Daron Acemoglu,CONF_122,The ratio of the 90th to the 10th percentile of the US income distribution has been unaffected by the Federal Reserve's unconventional monetary policies since the financial crisis.
Daron Acemoglu,CONF_123,The “Cadillac tax” on expensive employer-provided health insurance plans will reduce costly distortions in US health care if it is allowed to take effect as scheduled in 2018.
Daron Acemoglu,CONF_124,"Question A: The four largest domestic US banks currently have around 40% of the industry’s domestic assets (an average of 10% each). In early 1998, before Glass-Steagall ended and before Citicorp merged with Travelers, they held 13.2% (an average of 3.3% each). Thirty years ago, before interstate branching was fully permitted, that combined share was around 8% (an average of 2% each).
Capping US banks’ size so that no single bank could be larger than 4% of the sector's domestic assets would lower systemic risk in the US."
Daron Acemoglu,CONF_125,Question B: The US financial system would contribute more to the average American's welfare if the size of US banks were capped so that none could be larger than 4% of the sector's domestic assets.
Daron Acemoglu,CONF_126,"Question A: By providing important measures of US economic performance — including employment, consumer prices, wages, job openings, time allocation in households, and productivity — the Bureau of Labor Statistics creates social benefits that exceed its annual cost of roughly $610 million."
Daron Acemoglu,CONF_127,"Question B: Cuts in BLS spending would likely involve net social costs because potential declines in the quality of data, and thus their usefulness to researchers and decision makers, would exceed any budget savings."
Daron Acemoglu,CONF_128,An important reason why many workers in Michigan and Ohio have lost jobs in recent years is because US presidential administrations over the past 30 years have not been tough enough in trade negotiations.
Daron Acemoglu,CONF_129,"Question A: There is no perfect voting system. That is, no voting system can ensure that the winner will be the person who best represents voters’ wishes, including how intensely they favor or disfavor each candidate."
Daron Acemoglu,CONF_130,"Question B: One clear defect of a winner-take-all election with 3 or more candidates, and with each voter choosing only one candidate, is that a candidate who is strongly disliked by a majority, but strongly liked by a minority, can beat a candidate who is liked by a majority and disliked by relatively few."
Daron Acemoglu,CONF_131,"Large movements in monthly oil prices, either up or down, are driven primarily by speculators, as opposed to changes in the current (and planned) supply or demand for oil."
Daron Acemoglu,CONF_132,"Question A: If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU."
Daron Acemoglu,CONF_133,"Question B: If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade."
Daron Acemoglu,CONF_134,"China’s growth model, specifically the unusually high investment rate and low consumption rate, is unsustainable."
Daron Acemoglu,CONF_135,"An annual December spending surge on parties, gift-giving and personal travel delivers net social benefits."
Daron Acemoglu,CONF_136,Question A: The Fed should raise its target interest rate when it meets in mid-December.
Daron Acemoglu,CONF_137,"Question B: The Fed should have raised interest rates sooner, rather than leaving them near zero for this long."
Daron Acemoglu,CONF_138,Question A: Letting publicly traded US firms report earnings annually rather than quarterly would lead their executives to place more weight on long-term issues in their investments and other decisions.
Daron Acemoglu,CONF_139,"Question B: A switch from quarterly to annual earnings reports would, on net, benefit shareholders."
Daron Acemoglu,CONF_140,Comparing their students’ average gains on standardized tests over the school year makes it easier to predict which teachers — all else equal — are more likely to improve their student’s long-term life outcomes.
Daron Acemoglu,CONF_141,"Question A: The association between health and economic growth in poor countries primarily involves faster growth generating better health, rather than the other way around."
Daron Acemoglu,CONF_142,"Question B: The decline in the fraction of people with incomes under, say, $1 per day is a good measure of whether well-being is improving among low-income populations."
Daron Acemoglu,CONF_143,Question A: Expanding health insurance to more people through the ACA’s public subsidies and Medicaid expansion will reduce total healthcare spending in the economy.
Daron Acemoglu,CONF_144,Question B: Expanding health insurance to more people through the ACA’s public subsidies and Medicaid expansion will generate gains in the health and well-being of the newly insured that exceed the costs.
Daron Acemoglu,CONF_145,"Question A: If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo."
Daron Acemoglu,CONF_146,Question B: Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.
Daron Acemoglu,CONF_147,The median Greek citizen will be better off if there is a “yes” vote in the July 5 referendum on whether to accept the terms of the bailout package offered by Greece's creditors.
Daron Acemoglu,CONF_148,Question A: Economic analysis can identify whether countries are using their exchange rates to benefit their own people at the expense of their trading partners’ welfare.
Daron Acemoglu,CONF_149,Question B: Bank of Japan monetary policies that result in a weaker yen make Americans generally worse off.
Daron Acemoglu,CONF_150,"Behavior in many complex and seemingly intractable strategic settings can be understood more clearly by working out what each party in the game will choose to do if they realize that the other parties will be solving the same problem. This insight has helped us understand behavior as diverse as military conflicts, price setting by competing firms and penalty kicking in soccer."
Daron Acemoglu,CONF_151,"The 9% cumulative increase in real US median household income since 1980 substantially understates how much better off people in the median American household are now economically, compared with 35 years ago."
Daron Acemoglu,CONF_152,"Californians would be better off on average if all final users in the state paid the same price for water — adjusted for quality, place and time — even if, as a result, some food prices rose sharply and some farms failed."
Daron Acemoglu,CONF_153,The Fed should wait until its preferred measure of inflation (Core PCE) is clearly rising — and not just forecast to rise — before it begins hiking interest rates.
Daron Acemoglu,CONF_154,Question A: Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.
Daron Acemoglu,CONF_155,Question B: The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.
Daron Acemoglu,CONF_156,"Question A: Declining to be vaccinated against contagious diseases such as measles imposes costs on other people, which is a negative externality."
Daron Acemoglu,CONF_157,"Question B: Considering the costs of restricting free choice, and the share of people in the US who choose not to vaccinate their children for measles, the social benefit of mandating measles vaccines for all Americans (except those with compelling medical reasons) would exceed the social cost."
Daron Acemoglu,CONF_158,"In 10 years, per capita purchasing power in Greece will be higher if — rather than continuing to service its debts over the next decade and complying with the budget rules currently in place — it refuses to accept a continuation of its current troika program and explicitly defaults on its debt held by the official sector."
Daron Acemoglu,CONF_159,"Question A: Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people’s behavior, and thus their actual or reported incomes."
Daron Acemoglu,CONF_160,"Question B: To the extent that a given tax change might affect revenues partly by affecting national-income growth, existing research provides enough guidance to generate informative bounds on the size of any growth-driven revenue effect."
Daron Acemoglu,CONF_161,"Question C: For large proposed changes in tax rates or the tax base, official revenue forecasts provided to Congress would probably be more accurate if the CBO and JCT tried to estimate fully how the proposed tax changes would affect growth-driven revenue."
Daron Acemoglu,CONF_162,"Question A: Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books."
Daron Acemoglu,CONF_163,"Question B: Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest."
Daron Acemoglu,CONF_164,"Question C:
Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand."
Daron Acemoglu,CONF_165,The recent decline in oil prices will promote higher real GDP in the US over the next couple of years.
Daron Acemoglu,CONF_166,A US city hosting a big convention will enjoy a higher boost to incremental spending — holding the number of visitors and their average incomes fixed — if those visitors are auto dealers rather than economists.
Daron Acemoglu,CONF_167,A typical country can increase its citizens’ welfare by enacting policies that would increase its trade surplus (or decrease its trade deficit).
Daron Acemoglu,CONF_168,Question A: Lowering the effective marginal tax rate on US corporations’ repatriated profits for a year would boost US capital investment significantly.
Daron Acemoglu,CONF_169,"Question B: Permanently lowering the effective marginal tax rate on US corporations’ repatriated profits, such as by moving to a territorial-based tax system, would boost US capital investment significantly."
Daron Acemoglu,CONF_170,"Question A: By lowering bargaining costs, fast-track negotiating authority for the president makes it more likely that the U.S. can conclude major trade deals."
Daron Acemoglu,CONF_171,Question B: Past major trade deals have benefited most Americans.
Daron Acemoglu,CONF_172,Question A: Amazon has monopsony power in the market for books that is significantly reducing the supply of books.
Daron Acemoglu,CONF_173,"Question B:
Amazon has sufficient monopsony power that regulatory intervention is likely to make consumers of books better off, taking into account implementation costs and the effect of intervention on incentives."
Daron Acemoglu,CONF_174,The most powerful force pushing towards greater wealth inequality in the US since the 1970s is the gap between the after-tax return on capital and the economic growth rate.
Daron Acemoglu,CONF_175,"Letting car services such as Uber or Lyft compete with taxi firms on equal footing regarding genuine safety and insurance requirements, but without restrictions on prices or routes, raises consumer welfare."
Daron Acemoglu,CONF_176,"Although there are many issues for Scotland’s voters to consider, one consequence of separating from the rest of the UK would be greater macroeconomic instability for Scotland for many years."
Daron Acemoglu,CONF_177,"Question A: Because the US has underspent on new projects, maintenance, or both, the federal government has an opportunity to increase average incomes by spending more on roads, railways, bridges and airports. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found here.)"
Daron Acemoglu,CONF_178,"Question B: Past experience of public spending and political economy suggests that if the government spent more on roads, railways, bridges and airports, many of the projects would have low or negative returns. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found here.)"
Daron Acemoglu,CONF_179,"Question A: By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers. (The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found here.)"
Daron Acemoglu,CONF_180,"Question B: During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default. (The experts panel previously voted on this question on October 1, 2012. Those earlier results can be found here.)"
Daron Acemoglu,CONF_181,"New technology for fracking natural gas, by lowering energy costs in the United States, will make US industrial firms more cost competitive and thus significantly stimulate the growth of US merchandise exports. (The experts panel previously voted on this question on May 23, 2012. Those earlier results can be found here.)"
Daron Acemoglu,CONF_182,"Question A: Because of the American Recovery and Reinvestment Act of 2009, the U.S. unemployment rate was lower at the end of 2010 than it would have been without the stimulus bill. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found here.)"
Daron Acemoglu,CONF_183,"Question B: Taking into account all of the ARRA’s economic consequences — including the economic costs of raising taxes to pay for the spending, its effects on future spending, and any other likely future effects — the benefits of the stimulus will end up exceeding its costs. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found here.)"
